swapType, motifType, threshold, totalSwaps, Number of Motifs, Time(ms)
1,4,0.4,0,21,7
1,4,0.4,10,20,31
1,4,0.4,25,20,27
1,4,0.4,50,19,27
1,4,0.4,100,17,27
1,4,0.4,200,14,27
2,4,0.4,0,21,5
2,4,0.4,10,21,29
2,4,0.4,25,21,30
2,4,0.4,50,21,30
2,4,0.4,100,21,29
2,4,0.4,200,21,30
3,4,0.4,0,21,5
3,4,0.4,10,21,29
3,4,0.4,25,20,29
3,4,0.4,50,16,29
3,4,0.4,100,11,29
3,4,0.4,200,4,29
4,4,0.4,0,21,5
4,4,0.4,10,21,31
4,4,0.4,25,21,31
4,4,0.4,50,19,31
4,4,0.4,100,18,31
4,4,0.4,200,10,32
5,4,0.4,0,21,5
5,4,0.4,10,21,34
5,4,0.4,25,20,35
5,4,0.4,50,14,35
5,4,0.4,100,7,34
5,4,0.4,200,1,34
