swapType, motifType, threshold, totalSwaps, Number of Motifs, Time(ms)
1,3,0.4,0,20,14
1,3,0.4,10,20,56
1,3,0.4,25,20,58
1,3,0.4,50,18,56
1,3,0.4,100,19,57
1,3,0.4,200,16,62
2,3,0.4,0,20,9
2,3,0.4,10,20,63
2,3,0.4,25,20,62
2,3,0.4,50,20,63
2,3,0.4,100,20,62
2,3,0.4,200,20,63
3,3,0.4,0,20,9
3,3,0.4,10,20,59
3,3,0.4,25,18,59
3,3,0.4,50,17,58
3,3,0.4,100,11,59
3,3,0.4,200,7,59
4,3,0.4,0,20,9
4,3,0.4,10,20,67
4,3,0.4,25,20,64
4,3,0.4,50,19,65
4,3,0.4,100,16,66
4,3,0.4,200,11,66
5,3,0.4,0,20,9
5,3,0.4,10,17,71
5,3,0.4,25,12,71
5,3,0.4,50,8,73
5,3,0.4,100,5,72
5,3,0.4,200,1,71
