swapType, motifType, threshold, totalSwaps, Number of Motifs, Time(ms)
1,2,0.4,0,22,45
1,2,0.4,10,20,105
1,2,0.4,25,20,106
1,2,0.4,50,20,107
1,2,0.4,100,20,106
1,2,0.4,200,20,107
2,2,0.4,0,22,41
2,2,0.4,10,22,112
2,2,0.4,25,22,113
2,2,0.4,50,22,115
2,2,0.4,100,22,113
2,2,0.4,200,22,116
3,2,0.4,0,22,39
3,2,0.4,10,21,108
3,2,0.4,25,21,110
3,2,0.4,50,20,110
3,2,0.4,100,19,110
3,2,0.4,200,13,110
4,2,0.4,0,22,38
4,2,0.4,10,21,116
4,2,0.4,25,21,117
4,2,0.4,50,21,118
4,2,0.4,100,19,117
4,2,0.4,200,18,118
5,2,0.4,0,22,39
5,2,0.4,10,21,149
5,2,0.4,25,19,149
5,2,0.4,50,16,149
5,2,0.4,100,10,151
5,2,0.4,200,1,149
