swapType, motifType, threshold, totalSwaps, Number of Motifs, Time(ms)
1,1,0.4,0,22,25
1,1,0.4,10,22,108
1,1,0.4,25,22,107
1,1,0.4,50,22,110
1,1,0.4,100,22,108
1,1,0.4,200,21,109
2,1,0.4,0,22,20
2,1,0.4,10,22,120
2,1,0.4,25,22,118
2,1,0.4,50,22,118
2,1,0.4,100,22,117
2,1,0.4,200,22,120
3,1,0.4,0,22,20
3,1,0.4,10,22,113
3,1,0.4,25,22,113
3,1,0.4,50,21,113
3,1,0.4,100,21,113
3,1,0.4,200,17,114
4,1,0.4,0,22,18
4,1,0.4,10,22,122
4,1,0.4,25,22,122
4,1,0.4,50,22,122
4,1,0.4,100,22,124
4,1,0.4,200,22,124
5,1,0.4,0,22,19
5,1,0.4,10,19,137
5,1,0.4,25,14,135
5,1,0.4,50,10,136
5,1,0.4,100,5,135
5,1,0.4,200,1,135
