swapType, motifType, threshold, totalSwaps, Number of Motifs, Time(ms)
1,4,0.4,0,21,25
1,4,0.4,10,21,109
1,4,0.4,25,21,107
1,4,0.4,50,21,109
1,4,0.4,100,19,108
1,4,0.4,200,21,109
2,4,0.4,0,21,21
2,4,0.4,10,21,119
2,4,0.4,25,21,121
2,4,0.4,50,21,119
2,4,0.4,100,21,117
2,4,0.4,200,21,121
3,4,0.4,0,21,18
3,4,0.4,10,21,114
3,4,0.4,25,21,115
3,4,0.4,50,20,114
3,4,0.4,100,18,114
3,4,0.4,200,16,115
4,4,0.4,0,21,18
4,4,0.4,10,21,122
4,4,0.4,25,21,124
4,4,0.4,50,21,122
4,4,0.4,100,21,122
4,4,0.4,200,19,124
5,4,0.4,0,21,18
5,4,0.4,10,19,137
5,4,0.4,25,17,135
5,4,0.4,50,10,136
5,4,0.4,100,3,135
5,4,0.4,200,1,141
