swapType, motifType, threshold, totalSwaps, Number of Motifs, Time(ms)
3,1,0.2,0,20,4
3,1,0.2,10,20,20
3,1,0.2,25,18,21
3,1,0.2,50,16,21
3,1,0.2,100,14,21
3,1,0.2,200,11,20
3,1,0.4,0,20,4
3,1,0.4,10,20,20
3,1,0.4,25,16,20
3,1,0.4,50,13,19
3,1,0.4,100,12,19
3,1,0.4,200,5,21
3,1,0.6,0,20,4
3,1,0.6,10,14,19
3,1,0.6,25,8,19
3,1,0.6,50,8,19
3,1,0.6,100,6,19
3,1,0.6,200,2,20
3,2,0.2,0,15,3
3,2,0.2,10,15,20
3,2,0.2,25,14,20
3,2,0.2,50,10,20
3,2,0.2,100,7,20
3,2,0.2,200,6,20
3,2,0.4,0,15,3
3,2,0.4,10,11,20
3,2,0.4,25,11,19
3,2,0.4,50,6,19
3,2,0.4,100,5,19
3,2,0.4,200,1,19
3,2,0.6,0,15,3
3,2,0.6,10,6,18
3,2,0.6,25,5,19
3,2,0.6,50,4,18
3,2,0.6,100,2,19
3,2,0.6,200,0,20
3,3,0.2,0,15,3
3,3,0.2,10,15,19
3,3,0.2,25,14,19
3,3,0.2,50,10,19
3,3,0.2,100,8,19
3,3,0.2,200,4,20
3,3,0.4,0,15,3
3,3,0.4,10,13,19
3,3,0.4,25,11,18
3,3,0.4,50,8,19
3,3,0.4,100,3,19
3,3,0.4,200,2,19
3,3,0.6,0,15,3
3,3,0.6,10,8,18
3,3,0.6,25,4,18
3,3,0.6,50,3,18
3,3,0.6,100,2,19
3,3,0.6,200,0,19
3,4,0.2,0,20,3
3,4,0.2,10,19,19
3,4,0.2,25,16,20
3,4,0.2,50,13,19
3,4,0.2,100,9,19
3,4,0.2,200,5,19
3,4,0.4,0,20,3
3,4,0.4,10,18,19
3,4,0.4,25,13,19
3,4,0.4,50,9,19
3,4,0.4,100,4,19
3,4,0.4,200,1,19
3,4,0.6,0,20,3
3,4,0.6,10,15,19
3,4,0.6,25,10,18
3,4,0.6,50,5,18
3,4,0.6,100,2,19
3,4,0.6,200,0,19
