swapType, motifType, threshold, totalSwaps, Number of Motifs, Time(ms)
4,1,0.2,0,20,4
4,1,0.2,10,20,21
4,1,0.2,25,20,21
4,1,0.2,50,20,22
4,1,0.2,100,20,22
4,1,0.2,200,17,22
4,1,0.4,0,20,4
4,1,0.4,10,20,20
4,1,0.4,25,20,21
4,1,0.4,50,19,21
4,1,0.4,100,17,20
4,1,0.4,200,15,21
4,1,0.6,0,20,3
4,1,0.6,10,20,20
4,1,0.6,25,17,21
4,1,0.6,50,15,20
4,1,0.6,100,11,20
4,1,0.6,200,6,20
4,2,0.2,0,15,5
4,2,0.2,10,15,20
4,2,0.2,25,15,20
4,2,0.2,50,15,20
4,2,0.2,100,15,21
4,2,0.2,200,12,20
4,2,0.4,0,15,3
4,2,0.4,10,15,20
4,2,0.4,25,15,20
4,2,0.4,50,13,19
4,2,0.4,100,12,20
4,2,0.4,200,7,19
4,2,0.6,0,15,3
4,2,0.6,10,15,20
4,2,0.6,25,14,19
4,2,0.6,50,13,20
4,2,0.6,100,9,19
4,2,0.6,200,4,19
4,3,0.2,0,15,3
4,3,0.2,10,15,19
4,3,0.2,25,15,20
4,3,0.2,50,15,20
4,3,0.2,100,14,20
4,3,0.2,200,10,20
4,3,0.4,0,15,3
4,3,0.4,10,15,20
4,3,0.4,25,14,19
4,3,0.4,50,12,19
4,3,0.4,100,11,19
4,3,0.4,200,5,20
4,3,0.6,0,15,3
4,3,0.6,10,14,18
4,3,0.6,25,10,19
4,3,0.6,50,10,19
4,3,0.6,100,5,19
4,3,0.6,200,1,19
4,4,0.2,0,20,3
4,4,0.2,10,20,20
4,4,0.2,25,20,19
4,4,0.2,50,20,19
4,4,0.2,100,20,20
4,4,0.2,200,16,19
4,4,0.4,0,20,3
4,4,0.4,10,20,19
4,4,0.4,25,19,19
4,4,0.4,50,16,19
4,4,0.4,100,11,20
4,4,0.4,200,7,19
4,4,0.6,0,20,2
4,4,0.6,10,20,19
4,4,0.6,25,18,19
4,4,0.6,50,14,19
4,4,0.6,100,9,18
4,4,0.6,200,5,19
