swapType, motifType, threshold, totalSwaps, Number of Motifs, Time(ms)
1,1,0.2,0,20,4
1,1,0.2,10,20,19
1,1,0.2,25,19,20
1,1,0.2,50,19,20
1,1,0.2,100,18,20
1,1,0.2,200,17,22
1,1,0.4,0,20,3
1,1,0.4,10,19,19
1,1,0.4,25,18,19
1,1,0.4,50,16,18
1,1,0.4,100,12,19
1,1,0.4,200,8,19
1,1,0.6,0,20,4
1,1,0.6,10,17,18
1,1,0.6,25,14,19
1,1,0.6,50,9,18
1,1,0.6,100,7,18
1,1,0.6,200,9,18
1,2,0.2,0,15,5
1,2,0.2,10,14,19
1,2,0.2,25,13,18
1,2,0.2,50,12,18
1,2,0.2,100,12,19
1,2,0.2,200,10,19
1,2,0.4,0,15,3
1,2,0.4,10,13,18
1,2,0.4,25,12,18
1,2,0.4,50,11,18
1,2,0.4,100,8,18
1,2,0.4,200,5,18
1,2,0.6,0,15,3
1,2,0.6,10,10,18
1,2,0.6,25,10,17
1,2,0.6,50,8,17
1,2,0.6,100,4,18
1,2,0.6,200,3,17
1,3,0.2,0,15,3
1,3,0.2,10,15,18
1,3,0.2,25,15,18
1,3,0.2,50,15,19
1,3,0.2,100,14,19
1,3,0.2,200,10,18
1,3,0.4,0,15,3
1,3,0.4,10,13,18
1,3,0.4,25,14,17
1,3,0.4,50,12,18
1,3,0.4,100,9,18
1,3,0.4,200,6,18
1,3,0.6,0,15,2
1,3,0.6,10,11,18
1,3,0.6,25,11,17
1,3,0.6,50,9,17
1,3,0.6,100,4,17
1,3,0.6,200,3,17
1,4,0.2,0,20,3
1,4,0.2,10,20,17
1,4,0.2,25,19,18
1,4,0.2,50,19,19
1,4,0.2,100,15,18
1,4,0.2,200,12,18
1,4,0.4,0,20,3
1,4,0.4,10,19,18
1,4,0.4,25,17,18
1,4,0.4,50,14,18
1,4,0.4,100,11,17
1,4,0.4,200,10,18
1,4,0.6,0,20,3
1,4,0.6,10,16,18
1,4,0.6,25,15,17
1,4,0.6,50,9,18
1,4,0.6,100,8,17
1,4,0.6,200,5,17
