swapType, motifType, threshold, totalSwaps, Number of Motifs, Time(ms)
5,1,0.2,0,20,4
5,1,0.2,10,20,23
5,1,0.2,25,20,24
5,1,0.2,50,19,24
5,1,0.2,100,15,24
5,1,0.2,200,10,24
5,1,0.4,0,20,4
5,1,0.4,10,19,23
5,1,0.4,25,17,23
5,1,0.4,50,14,23
5,1,0.4,100,10,23
5,1,0.4,200,4,22
5,1,0.6,0,20,4
5,1,0.6,10,17,22
5,1,0.6,25,12,22
5,1,0.6,50,8,22
5,1,0.6,100,4,21
5,1,0.6,200,2,22
5,2,0.2,0,15,3
5,2,0.2,10,15,23
5,2,0.2,25,15,23
5,2,0.2,50,14,24
5,2,0.2,100,12,24
5,2,0.2,200,5,23
5,2,0.4,0,15,3
5,2,0.4,10,15,22
5,2,0.4,25,14,22
5,2,0.4,50,10,22
5,2,0.4,100,4,22
5,2,0.4,200,0,22
5,2,0.6,0,15,3
5,2,0.6,10,11,22
5,2,0.6,25,8,22
5,2,0.6,50,2,23
5,2,0.6,100,0,23
5,3,0.2,0,15,3
5,3,0.2,10,15,22
5,3,0.2,25,13,22
5,3,0.2,50,11,23
5,3,0.2,100,9,22
5,3,0.2,200,4,22
5,3,0.4,0,15,3
5,3,0.4,10,13,23
5,3,0.4,25,9,22
5,3,0.4,50,6,21
5,3,0.4,100,1,21
5,3,0.4,200,1,22
5,3,0.6,0,15,2
5,3,0.6,10,11,21
5,3,0.6,25,7,21
5,3,0.6,50,2,21
5,3,0.6,100,0,21
5,4,0.2,0,20,3
5,4,0.2,10,19,21
5,4,0.2,25,19,22
5,4,0.2,50,17,22
5,4,0.2,100,10,22
5,4,0.2,200,10,22
5,4,0.4,0,20,3
5,4,0.4,10,16,21
5,4,0.4,25,13,22
5,4,0.4,50,8,22
5,4,0.4,100,4,21
5,4,0.4,200,0,21
5,4,0.6,0,20,3
5,4,0.6,10,12,21
5,4,0.6,25,4,21
5,4,0.6,50,1,20
5,4,0.6,100,0,21
