swapType, motifType, threshold, totalSwaps, Number of Motifs, Time(ms)
3,1,0.2,0,30,7
3,1,0.2,10,30,40
3,1,0.2,25,29,40
3,1,0.2,50,29,38
3,1,0.2,100,25,39
3,1,0.2,200,17,38
3,1,0.4,0,28,8
3,1,0.4,10,28,37
3,1,0.4,25,27,38
3,1,0.4,50,23,38
3,1,0.4,100,17,39
3,1,0.4,200,11,39
3,1,0.6,0,27,7
3,1,0.6,10,23,38
3,1,0.6,25,17,37
3,1,0.6,50,15,37
3,1,0.6,100,8,37
3,1,0.6,200,3,39
3,2,0.2,0,22,10
3,2,0.2,10,21,42
3,2,0.2,25,18,43
3,2,0.2,50,17,41
3,2,0.2,100,14,42
3,2,0.2,200,13,41
3,2,0.4,0,21,9
3,2,0.4,10,20,40
3,2,0.4,25,20,41
3,2,0.4,50,17,41
3,2,0.4,100,11,42
3,2,0.4,200,5,41
3,2,0.6,0,20,9
3,2,0.6,10,18,39
3,2,0.6,25,15,39
3,2,0.6,50,9,39
3,2,0.6,100,4,41
3,2,0.6,200,0,40
3,3,0.2,0,21,7
3,3,0.2,10,20,39
3,3,0.2,25,20,39
3,3,0.2,50,19,38
3,3,0.2,100,18,38
3,3,0.2,200,10,38
3,3,0.4,0,20,6
3,3,0.4,10,20,37
3,3,0.4,25,19,37
3,3,0.4,50,18,38
3,3,0.4,100,11,38
3,3,0.4,200,5,39
3,3,0.6,0,20,6
3,3,0.6,10,16,37
3,3,0.6,25,14,37
3,3,0.6,50,13,37
3,3,0.6,100,9,36
3,3,0.6,200,2,37
3,4,0.2,0,29,7
3,4,0.2,10,29,38
3,4,0.2,25,27,38
3,4,0.2,50,26,38
3,4,0.2,100,24,38
3,4,0.2,200,14,38
3,4,0.4,0,28,7
3,4,0.4,10,27,37
3,4,0.4,25,25,38
3,4,0.4,50,21,38
3,4,0.4,100,16,39
3,4,0.4,200,9,39
3,4,0.6,0,27,6
3,4,0.6,10,24,37
3,4,0.6,25,18,38
3,4,0.6,50,13,37
3,4,0.6,100,9,37
3,4,0.6,200,3,39
