swapType, motifType, threshold, totalSwaps, Number of Motifs, Time(ms)
2,1,0.2,0,30,11
2,1,0.2,10,30,42
2,1,0.2,25,30,39
2,1,0.2,50,30,39
2,1,0.2,100,30,39
2,1,0.2,200,30,39
2,1,0.4,0,28,7
2,1,0.4,10,28,39
2,1,0.4,25,28,39
2,1,0.4,50,28,39
2,1,0.4,100,28,38
2,1,0.4,200,28,39
2,1,0.6,0,27,7
2,1,0.6,10,27,38
2,1,0.6,25,27,38
2,1,0.6,50,27,39
2,1,0.6,100,27,39
2,1,0.6,200,27,38
2,2,0.2,0,22,14
2,2,0.2,10,22,44
2,2,0.2,25,22,43
2,2,0.2,50,22,42
2,2,0.2,100,22,42
2,2,0.2,200,22,42
2,2,0.4,0,21,9
2,2,0.4,10,21,41
2,2,0.4,25,21,41
2,2,0.4,50,21,42
2,2,0.4,100,21,42
2,2,0.4,200,21,43
2,2,0.6,0,20,9
2,2,0.6,10,20,41
2,2,0.6,25,20,42
2,2,0.6,50,20,43
2,2,0.6,100,20,42
2,2,0.6,200,20,42
2,3,0.2,0,21,10
2,3,0.2,10,21,42
2,3,0.2,25,21,39
2,3,0.2,50,21,38
2,3,0.2,100,21,38
2,3,0.2,200,21,38
2,3,0.4,0,20,6
2,3,0.4,10,20,38
2,3,0.4,25,20,37
2,3,0.4,50,20,38
2,3,0.4,100,20,38
2,3,0.4,200,20,39
2,3,0.6,0,20,6
2,3,0.6,10,20,39
2,3,0.6,25,20,39
2,3,0.6,50,20,39
2,3,0.6,100,20,39
2,3,0.6,200,20,40
2,4,0.2,0,29,10
2,4,0.2,10,29,42
2,4,0.2,25,29,40
2,4,0.2,50,29,39
2,4,0.2,100,29,38
2,4,0.2,200,29,38
2,4,0.4,0,28,7
2,4,0.4,10,28,38
2,4,0.4,25,28,38
2,4,0.4,50,28,39
2,4,0.4,100,28,39
2,4,0.4,200,28,39
2,4,0.6,0,27,7
2,4,0.6,10,27,40
2,4,0.6,25,27,39
2,4,0.6,50,27,39
2,4,0.6,100,27,40
2,4,0.6,200,27,41
