swapType, motifType, threshold, totalSwaps, Number of Motifs, Time(ms)
4,1,0.2,0,30,8
4,1,0.2,10,30,42
4,1,0.2,25,30,42
4,1,0.2,50,29,42
4,1,0.2,100,27,42
4,1,0.2,200,26,44
4,1,0.4,0,28,8
4,1,0.4,10,28,41
4,1,0.4,25,28,41
4,1,0.4,50,26,43
4,1,0.4,100,21,43
4,1,0.4,200,16,43
4,1,0.6,0,27,7
4,1,0.6,10,25,41
4,1,0.6,25,21,42
4,1,0.6,50,19,42
4,1,0.6,100,13,40
4,1,0.6,200,6,41
4,2,0.2,0,22,15
4,2,0.2,10,22,52
4,2,0.2,25,22,44
4,2,0.2,50,22,44
4,2,0.2,100,21,44
4,2,0.2,200,18,45
4,2,0.4,0,21,9
4,2,0.4,10,20,43
4,2,0.4,25,19,44
4,2,0.4,50,19,44
4,2,0.4,100,15,45
4,2,0.4,200,11,44
4,2,0.6,0,20,8
4,2,0.6,10,19,43
4,2,0.6,25,17,44
4,2,0.6,50,15,46
4,2,0.6,100,9,42
4,2,0.6,200,4,42
4,3,0.2,0,21,11
4,3,0.2,10,21,50
4,3,0.2,25,21,39
4,3,0.2,50,21,40
4,3,0.2,100,20,40
4,3,0.2,200,20,40
4,3,0.4,0,20,6
4,3,0.4,10,20,39
4,3,0.4,25,20,39
4,3,0.4,50,19,41
4,3,0.4,100,15,41
4,3,0.4,200,9,42
4,3,0.6,0,20,6
4,3,0.6,10,19,40
4,3,0.6,25,19,39
4,3,0.6,50,17,41
4,3,0.6,100,12,41
4,3,0.6,200,4,40
4,4,0.2,0,29,11
4,4,0.2,10,29,51
4,4,0.2,25,29,41
4,4,0.2,50,29,42
4,4,0.2,100,26,42
4,4,0.2,200,25,42
4,4,0.4,0,28,7
4,4,0.4,10,27,41
4,4,0.4,25,26,42
4,4,0.4,50,26,43
4,4,0.4,100,23,44
4,4,0.4,200,18,61
4,4,0.6,0,27,6
4,4,0.6,10,25,42
4,4,0.6,25,24,46
4,4,0.6,50,22,41
4,4,0.6,100,11,41
4,4,0.6,200,6,40
