swapType, motifType, threshold, totalSwaps, Number of Motifs, Time(ms)
1,1,0.2,0,30,11
1,1,0.2,10,29,40
1,1,0.2,25,30,37
1,1,0.2,50,28,36
1,1,0.2,100,23,37
1,1,0.2,200,24,36
1,1,0.4,0,28,7
1,1,0.4,10,27,36
1,1,0.4,25,27,35
1,1,0.4,50,25,35
1,1,0.4,100,21,37
1,1,0.4,200,19,37
1,1,0.6,0,27,7
1,1,0.6,10,24,37
1,1,0.6,25,25,35
1,1,0.6,50,23,35
1,1,0.6,100,18,35
1,1,0.6,200,12,35
1,2,0.2,0,22,14
1,2,0.2,10,22,41
1,2,0.2,25,22,39
1,2,0.2,50,22,38
1,2,0.2,100,21,38
1,2,0.2,200,20,38
1,2,0.4,0,21,9
1,2,0.4,10,21,38
1,2,0.4,25,21,37
1,2,0.4,50,20,38
1,2,0.4,100,19,39
1,2,0.4,200,13,41
1,2,0.6,0,20,9
1,2,0.6,10,18,38
1,2,0.6,25,19,37
1,2,0.6,50,16,37
1,2,0.6,100,17,38
1,2,0.6,200,8,38
1,3,0.2,0,21,10
1,3,0.2,10,21,39
1,3,0.2,25,21,37
1,3,0.2,50,21,37
1,3,0.2,100,21,36
1,3,0.2,200,20,37
1,3,0.4,0,20,6
1,3,0.4,10,20,36
1,3,0.4,25,20,35
1,3,0.4,50,19,36
1,3,0.4,100,19,37
1,3,0.4,200,17,37
1,3,0.6,0,20,6
1,3,0.6,10,17,36
1,3,0.6,25,18,35
1,3,0.6,50,16,35
1,3,0.6,100,12,36
1,3,0.6,200,9,36
1,4,0.2,0,29,11
1,4,0.2,10,27,46
1,4,0.2,25,28,36
1,4,0.2,50,27,35
1,4,0.2,100,26,36
1,4,0.2,200,26,35
1,4,0.4,0,28,7
1,4,0.4,10,25,35
1,4,0.4,25,27,35
1,4,0.4,50,23,36
1,4,0.4,100,24,36
1,4,0.4,200,20,37
1,4,0.6,0,27,6
1,4,0.6,10,21,35
1,4,0.6,25,25,34
1,4,0.6,50,20,34
1,4,0.6,100,20,34
1,4,0.6,200,15,37
