swapType, motifType, threshold, totalSwaps, Number of Motifs, Time(ms)
5,1,0.2,0,30,11
5,1,0.2,10,28,50
5,1,0.2,25,27,49
5,1,0.2,50,27,47
5,1,0.2,100,21,48
5,1,0.2,200,17,49
5,1,0.4,0,28,7
5,1,0.4,10,26,51
5,1,0.4,25,21,50
5,1,0.4,50,17,46
5,1,0.4,100,8,47
5,1,0.4,200,3,46
5,1,0.6,0,27,7
5,1,0.6,10,20,47
5,1,0.6,25,12,50
5,1,0.6,50,7,49
5,1,0.6,100,1,46
5,1,0.6,200,0,46
5,2,0.2,0,22,10
5,2,0.2,10,22,54
5,2,0.2,25,22,56
5,2,0.2,50,21,54
5,2,0.2,100,18,54
5,2,0.2,200,14,54
5,2,0.4,0,21,10
5,2,0.4,10,18,54
5,2,0.4,25,16,55
5,2,0.4,50,10,53
5,2,0.4,100,4,53
5,2,0.4,200,1,54
5,2,0.6,0,20,10
5,2,0.6,10,15,55
5,2,0.6,25,9,51
5,2,0.6,50,2,51
5,2,0.6,100,0,52
5,3,0.2,0,21,7
5,3,0.2,10,21,48
5,3,0.2,25,20,47
5,3,0.2,50,18,48
5,3,0.2,100,16,48
5,3,0.2,200,11,48
5,3,0.4,0,20,6
5,3,0.4,10,17,47
5,3,0.4,25,13,49
5,3,0.4,50,8,48
5,3,0.4,100,5,47
5,3,0.4,200,1,47
5,3,0.6,0,20,6
5,3,0.6,10,15,47
5,3,0.6,25,8,47
5,3,0.6,50,3,46
5,3,0.6,100,0,45
5,4,0.2,0,29,7
5,4,0.2,10,29,48
5,4,0.2,25,27,47
5,4,0.2,50,25,47
5,4,0.2,100,20,47
5,4,0.2,200,14,47
5,4,0.4,0,28,7
5,4,0.4,10,25,47
5,4,0.4,25,20,47
5,4,0.4,50,14,46
5,4,0.4,100,6,46
5,4,0.4,200,2,45
5,4,0.6,0,27,6
5,4,0.6,10,19,47
5,4,0.6,25,12,45
5,4,0.6,50,5,45
5,4,0.6,100,3,45
5,4,0.6,200,0,45
