swapType, motifType, threshold, totalSwaps, Number of Motifs, Time(ms)
1,1,0.4,0,21,7
1,1,0.4,10,21,31
1,1,0.4,25,21,28
1,1,0.4,50,21,28
1,1,0.4,100,20,28
1,1,0.4,200,17,28
2,1,0.4,0,21,5
2,1,0.4,10,21,30
2,1,0.4,25,21,30
2,1,0.4,50,21,30
2,1,0.4,100,21,30
2,1,0.4,200,22,30
3,1,0.4,0,21,5
3,1,0.4,10,20,29
3,1,0.4,25,20,29
3,1,0.4,50,16,29
3,1,0.4,100,9,29
3,1,0.4,200,4,29
4,1,0.4,0,21,5
4,1,0.4,10,21,31
4,1,0.4,25,20,31
4,1,0.4,50,16,31
4,1,0.4,100,12,33
4,1,0.4,200,6,34
5,1,0.4,0,21,5
5,1,0.4,10,20,35
5,1,0.4,25,18,35
5,1,0.4,50,13,35
5,1,0.4,100,4,34
5,1,0.4,200,1,34
